"media_open; media_play; media_pause; media_play; media_pause; media_play; media_pause; media_play; media_pause; media_play; media_pause; media_play; media_end","2022/09/13 15:01:34:471; 2022/09/13 15:06:35:419; 2022/09/13 15:06:48:647; 2022/09/13 15:08:00:131; 2022/09/13 15:08:15:611; 2022/09/13 15:08:18:720; 2022/09/13 15:08:22:719; 2022/09/13 15:11:46:845; 2022/09/13 15:11:48:411; 2022/09/13 15:13:56:917; 2022/09/13 15:19:22:400; 2022/09/13 15:19:38:612; 2022/09/13 15:21:22:075"
"Multimedia File","7.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,0
2,0
3,0
4,0
5,0
6,10.58193
7,43.1087175
8,45.635515
9,68.5661342105263
10,71.82235
11,71.82235
12,71.82235
13,71.82235
14,71.82235
15,71.82235
16,71.82235
17,71.82235
18,71.82235
19,71.82235
20,71.82235
21,71.82235
22,71.82235
23,71.82235
24,71.82235
25,71.82235
26,71.82235
27,71.82235
28,71.82235
29,71.82235
30,71.82235
31,71.82235
32,71.82235
33,71.82235
34,71.82235
35,71.82235
36,71.82235
37,71.82235
38,71.82235
39,71.82235
40,71.82235
41,83.9929
42,86.6156300000001
43,87.1363
44,87.1363
45,87.1363
46,87.1363
47,87.1363
48,87.1363
49,87.1363
50,87.1363
51,87.1363
52,87.1363
53,87.1363
54,87.1363
55,87.1363
56,87.1363
57,87.1363
58,87.1363
59,87.1363
60,87.1363
61,87.1363
62,87.1363
63,87.1363
64,87.1363
65,87.1363
66,87.1363
67,87.1363
68,87.1363
69,87.1363
70,87.1363
71,86.1591214285714
72,81.3169894736842
73,81.2404375
74,74.9657447368421
75,71.7304775
76,69.9847
77,69.9847
78,69.9847
79,69.9847
80,69.9847
81,69.9847
82,69.9847
83,69.9847
84,69.9847
85,70.290975
86,69.9847
87,69.9847
88,69.9847
89,69.9847
90,69.9847
91,69.9847
92,69.9847
93,69.9847
94,69.9847
95,69.9847
96,69.9847
97,69.9847
98,69.9847
99,69.9847
100,69.9847
101,69.9847
102,69.9847
103,69.9847
104,69.9847
105,69.9847
106,69.9847
107,69.9847
108,69.9847
109,69.9847
110,69.9847
111,69.9847
112,71.715165
113,72.12865
114,72.12865
115,72.12865
116,72.12865
117,72.12865
118,72.12865
119,72.12865
120,72.12865
121,72.12865
122,72.12865
123,72.12865
124,72.12865
125,72.12865
126,72.12865
127,72.12865
128,76.186835
129,85.9112
130,85.9112
131,85.9112
132,85.9112
133,85.9112
134,85.9112
135,85.9112
136,85.9112
137,85.9112
138,85.9112
139,86.23279
140,90.7810125
141,91.4242
142,91.4242
143,91.4242
144,91.4242
145,91.4242
146,91.4242
147,91.4242
148,91.4242
149,91.4242
150,91.4242
151,91.4242
152,91.4242
153,91.4242
154,91.4242
155,91.4242
156,91.4242
157,91.4242
158,91.4242
159,91.4242
160,91.4242
161,91.4242
162,91.4242
163,89.7196913043478
164,91.4242
165,91.4242
166,91.4242
167,91.4242
168,91.4242
169,91.4242
170,91.4242
171,91.4242
172,91.4242
173,91.4242
174,91.4242
175,91.4242
